Word, Definition
discomfit,To make uneasy or perplexed; disconcert. See Synonyms at embarrass.
immured,Simple past tense and past participle of immure.
piacular,Making expiation or atonement for a sacrilege:  piacular sacrifice. 
homunculus,A diminutive human.
charlatan,"A person who makes elaborate, fraudulent, and often voluble claims to skill or knowledge; a quack or fraud."
apiary,"A place where bees and beehives are kept, especially a place where bees are raised for their honey."
fils,Used to distinguish a son from his father when they have the same given name.
yarmulke,"A skullcap worn by Jewish men and boys, especially those adhering to Orthodox or Conservative Judaism."
verdigris,A blue or green powder consisting of basic cupric acetate used as a paint pigment and fungicide.
epaulet,"A shoulder ornament, especially a fringed strap worn on military uniforms."
saturnine,Having the temperament of one born under the supposed astrological influence of Saturn.
plangent,Loud and resounding:  plangent bells. 
obtuse,Lacking quickness of perception or intellect.
intrepid,Resolutely courageous; fearless. See Synonyms at brave.
counterpane,A cover for a bed; a bedspread.
perpend,To consider carefully; ponder.
vacuole,"A small cavity in the cytoplasm of a cell, bound by a single membrane and containing water, food, or metabolic waste."
prophylactics,Plural form of prophylactic.
depredations,Plural form of depredation.
assiduous,Constant in application or attention; diligent:  an assiduous worker who strove for perfection.  See Synonyms at busy.
inguinal,"Of, relating to, or located in the groin."
cuspate,Having a cusp.
seraphic,of or relating to a seraph or the seraphim
insipid,Lacking flavor or zest; not tasty.
lank,Long and lean. See Synonyms at lean2.
agnation,"consanguinity by a line of males only, as distinguished from cognation"
